row_id,claim,true_label,classifier_label,committed_ddg_final_label,google_candidate_count,source,verdict,reason,google_reason,google_error,final_label
0,"Barack Obama says memory of Hiroshima 'must never fade'. Barack Obama called on the world to choose a future where Hiroshima was considered “the start of our own moral awakening”, as he became the first sitting US president to visit the Japanese city, 71 years after its bombing ushered in the nuclea",real,real,real,0,ddg_deberta,supported,DDG evidence evaluated with DeBERTa NLI,no Google fact-check match,,real
1,"A Message to my Fellow Republicans. As the unfolding Clinton email story plays out, I have some simple counsel for my friends in Congress, the conservative movement and right-leaning opinion media: Stop talking unless and until you have a plan. Better to go dark than play this game by the Clinton Ru",real,fake,real,0,none,insufficient,DDG evidence evaluated with DeBERTa NLI,no Google fact-check match,,fake
2,"Pantsuit Power flashmob video for Hillary Clinton Two women 170 dancers and no police. It came together in about a week. First, the idea for a punchy, uplifting dance video that would tell a story about diversity, difference and communal support. Then, 170 dancers, a few hours of rehearsalsand pants",real,real,real,0,none,insufficient,DDG evidence evaluated with DeBERTa NLI,no Google fact-check match,,real
3,"Fox News built a f**ked-up Frankenstein, dumb, angry and divorced from facts. Now Donald Trump will devour them. Donald Trump is practically a mirror image of the Fox News psyche. Most of his speeches consist of repackaged stupidities plucked right out of the conservative mediascape. It’s kind of br",real,real,real,0,none,insufficient,DDG evidence evaluated with DeBERTa NLI,no Google fact-check match,,real
4,House GOP smells victory in budget battle. “I felt it is important to take the opportunity to meet the President-elect now before the drumbeats of war that neocons have been beating drag us into,real,real,real,0,ddg_deberta,supported,DDG evidence evaluated with DeBERTa NLI,no Google fact-check match,,real
5,Kevin McCarthy is a total dope: This bumbling yahoo is about to be second in line to the presidency. But then the sobering realization sets in: these are elected members of perhaps most prestigious governing body in the world. Let this sink in for a moment: each of these dolts is chosen by voters to,real,real,fake,0,ddg_deberta,supported,DDG evidence evaluated with DeBERTa NLI,no Google fact-check match,,real
6,"Anti-Semitism growing in Europe. While I understand this sentiment is coming from a place of concern, European Jews should not leave out of fear and should push their leaders to defeat anti-Semitism and radical Islamist terrorism. That said, none of this is surprising. After all, we've recently witn",real,real,real,0,none,insufficient,DDG evidence evaluated with DeBERTa NLI,no Google fact-check match,,real
7,"Kim Davis's right to religious liberty has been grossly violated. Today, September 8, I am holding a prayer vigil and rally for liberty in Grayson, Kentucky. I will call on Judge David Bunning to release Kim Davis on the grounds that her right to religious liberty has been grossly violated under the",real,real,real,0,none,insufficient,DDG evidence evaluated with DeBERTa NLI,no Google fact-check match,,real
8,"Donald Trump revokes Washington Post press access (+video). U.S. Republican presidential candidate Donald Trump delivers a campaign speech about national security in Manchester, New Hampshire, U.S. June 13, 2016. Donald Trump says his presidential campaign is revoking The Washington Post’s press cre",real,fake,fake,0,ddg_deberta,supported,DDG evidence evaluated with DeBERTa NLI,no Google fact-check match,,real
9,"This man wants to become president, pass one law, and resign. Lessig says that his sole mission as president would be to persuade Congress to pass the Citizen Equality Act, which would implement three reforms to the political system. First, it would guarantee the “equal right to vote” by enhancing t",real,fake,real,0,none,insufficient,DDG evidence evaluated with DeBERTa NLI,no Google fact-check match,,fake
10,"Allowing Refugees in US an Open Door to Terror?. The European country working hardest to solve the Mideast migrant crisis is now stepping back. Germany has been receiving up to 10,000 migrants per day, but that can't go on for long. Meanwhile, some lawmakers in the United States warn President Barac",real,fake,fake,0,none,insufficient,DDG evidence evaluated with DeBERTa NLI,no Google fact-check match,,fake
11,"Trump Prepares For Mass Deportations: “2 To 3 Million Undocumented Immigrants With Criminal Records… They’re Going To Be Gone”. If you are an illegal immigrant in America with a criminal record your days are numbered, according to President-elect Donald Trump. Following up on his campaign promise to",fake,fake,fake,0,none,insufficient,DDG evidence evaluated with DeBERTa NLI,no Google fact-check match,,fake
12,"Exclusive: New Jeb Bush Super PAC ad uses Paris, San Bernardino images. Right to Rise USA, the pro-Jeb Bush super PAC will be airing a new TV ad in early voting states and the battleground state of Ohio that uses images from the Paris & San Bernardino attacks to depict President Obama as a weak pres",real,real,real,0,ddg_deberta,supported,DDG evidence evaluated with DeBERTa NLI,no Google fact-check match,,real
13,"Three in Florida, Virginia charged with voter fraud. Three in Florida, Virginia charged with voter fraud Reuters Officials in Florida and Virginia filed voter fraud charges against three people in apparently unrelated cases on Friday, just 11 days before American voters cast ballots in the hotly con",fake,fake,fake,0,ddg_deberta,refuted,DDG evidence evaluated with DeBERTa NLI,no Google fact-check match,,fake
14,"Billionaires fund anti-Trump delegate push. 232 photos, 131 quotes and 43 numbers that tell the story of America's craziest election",real,real,real,0,none,insufficient,DDG evidence evaluated with DeBERTa NLI,no Google fact-check match,,real
15,"Want Proof of Voter Fraud? Look at What’s Happening in Chicago…. Voter fraud is all too real — particularly so in Chicago, Illinois, where it seems dead Americans have been voting for decades. How many dead Americans? A lot. In fact, an investigation by local news station WBBM showed that “119 dead",fake,fake,fake,0,none,insufficient,DDG evidence evaluated with DeBERTa NLI,no Google fact-check match,,fake
16,"Obama's leadership tank is out of gas: President shrinks as our challenges grow. If ever America needed a president who could speak to and for all the people, this would be such a moment. If only we had such a president. It has been obvious for some time that the president’s leadership tank is out o",real,real,real,0,ddg_deberta,supported,DDG evidence evaluated with DeBERTa NLI,no Google fact-check match,,real
17,"Protesting Donald Trump’s Election, Not Wars, Surveillance, or Deportations. Protests and vigils have erupted in major cities and smaller towns across the United States in response to Donald Trump's election as the 45th president last night. Students in California also participated in a walk-out, an",real,fake,fake,0,ddg_deberta,refuted,DDG evidence evaluated with DeBERTa NLI,no Google fact-check match,,fake
18,That's a good point. But there is also the economic truth that you specialize in your strengths,fake,fake,fake,0,none,insufficient,DDG evidence evaluated with DeBERTa NLI,no Google fact-check match,,fake
19,"PressTV-Hezbollah shares Aoun’s victory: Lebanon FM. Lebanon Lebanese Foreign Minister Gebran Bassil gestures to his supporters during a rally to show support for FPM founder Michel Aoun, near the presidential palace in Baabda, near Beirut, Lebanon, October 16, 2016. (Photo by Reuters) Lebanon’s Min",fake,fake,fake,0,ddg_deberta,supported,DDG evidence evaluated with DeBERTa NLI,no Google fact-check match,,real
20,"Watch Pres Jimmy Carter Go Beast Mode On Republican Candidates (VIDEO). Former president Jimmy Carter denounced what he called the legal bribery afflicting our political system, turning the presidential race into one that is influenced by a few billionaires, lobby groups, and corporate oligarchs who",fake,real,fake,0,ddg_deberta,supported,DDG evidence evaluated with DeBERTa NLI,no Google fact-check match,,real
21,"African ‘Refugee’ Carries Out Mass Shooting In Virginia. From Roanoke.com : Getachew Fekede, 53, a former employee at FreightCar America, shot three workers — one fatally — and grazed a fourth before killing himself, Roanoke police have said. All of the victims were found close to each other, police",fake,fake,fake,0,none,insufficient,DDG evidence evaluated with DeBERTa NLI,no Google fact-check match,,fake
22,Profit sharing was supposed to be a silver bullet for middle-class success. What happened?. The core commitment of the American economy to give workers a fair share of the productivity and profits they have created is seriously in question. It has become abundantly clear over the last few years that,real,real,real,0,none,insufficient,DDG evidence evaluated with DeBERTa NLI,no Google fact-check match,,real
23,"Illegal Immigrants Could Elect Hillary. Illegal immigrants—along with other noncitizens without the right to vote—may pick the 2016 presidential winner. Thanks to the unique math undergirding the Electoral College, the mere presence of 11-12 million illegal immigrants and other noncitizens here lega",real,real,real,0,none,insufficient,DDG evidence evaluated with DeBERTa NLI,no Google fact-check match,,real
24,"Did Trump Make a “Secret Deal NOT To Prosecute Hillary” In Exchange for Her Concession?. Admittedly, the question is speculative, but not without merit. During the debates and in the heated final days of the campaign, Donald Trump vowed to assign a special prosecutor to investigate Hillary and send",fake,real,real,0,ddg_deberta,refuted,DDG evidence evaluated with DeBERTa NLI,no Google fact-check match,,fake
25,"Christianity under attack: US must do more to promote religious freedom. Throughout the Middle East and North Africa today, Christianity is under attack. Terrorist organizations such as the Islamic State of Iraq and Syria (ISIS) are destroying some of the oldest and most sacred Christian communities",real,fake,fake,0,none,insufficient,DDG evidence evaluated with DeBERTa NLI,no Google fact-check match,,fake
26,"Dem Operative Who Oversaw Trump Rally Agitators Visited White House 342 Times. A key operative in a Democratic scheme to send agitators to cause unrest at Donald Trump’s rallies has visited the White House 342 times since 2009, White House records show. Robert Creamer, who acted as a middle man betw",real,fake,real,0,none,insufficient,DDG evidence evaluated with DeBERTa NLI,no Google fact-check match,,fake
27,"What Pentagon would gain from Bowe Bergdahl desertion charge (+video). Sgt. Bowe Bergdahl has already spent five years in Taliban captivity, but charging him with desertion would likely lead to no jail time and would send a message to soldiers. South Korea voted to impeach its president. What happen",real,real,real,0,none,insufficient,DDG evidence evaluated with DeBERTa NLI,no Google fact-check match,,real
28,"Migrants FLOOD Into U.S. From Mexico Right Before Election. With 12 days to go until the election, all eyes are on who the next president will be. And there’s no “lamer” duck than a president whose just days away from being replaced. Perhaps that’s the perfect opportunity for what’s really happening",fake,fake,fake,0,none,insufficient,DDG evidence evaluated with DeBERTa NLI,no Google fact-check match,,fake
29,"Top Congressmen Just Demanded A Federal Investigation Into FBI’s Leaks To Giuliani. Comments With the effects of recent politicized FBI leaks now frighteningly clear, senior Democratic lawmakers are calling on the Justice Department to probe the bureau for leaks to the Trump campaign. Specifically,",fake,fake,fake,0,none,insufficient,DDG evidence evaluated with DeBERTa NLI,no Google fact-check match,,fake
30,"Fighter jets drop training bombs on northern Michigan. We Are Change This graphic, courtesy of The Atlantic, highlights the disparity in flight hour costs for various aircraft in the US fleet. LUZERNE, Mich. – Officials say a mechanical failure is believed to have caused the release of six training",fake,fake,fake,0,none,insufficient,DDG evidence evaluated with DeBERTa NLI,no Google fact-check match,,fake
31,"Cologne Police Attacked for ’Racial Profiling’ During NYE. Hailed a success by its organisers for reducing the number of violent crimes committed on New Year’s Eve from over 1, 000 last year to less than a dozen, Cologne police are now being criticised for using “racial” methods.[ activists, includi",real,fake,real,0,none,insufficient,DDG evidence evaluated with DeBERTa NLI,no Google fact-check match,,fake
32,"Martha MacCallum: It's Donald Trump's moment. And this is how we got here, America. And then there was one. There is an expression on Wall Street for a stock that just keeps moving up and up, while everybody is scratching their heads trying to figure out what’s going on. They put their hands up and",real,fake,real,0,none,insufficient,DDG evidence evaluated with DeBERTa NLI,no Google fact-check match,,fake
33,"Exclusive Excerpt -- Adrienne Ross: ’Push Your Way to Purpose: How to Get from Where You Are to Where You’re Meant to Be’. Breitbart News head copy editor Adrienne Ross published two books on April 17, Push Your Way to Purpose: How to Get from Where You Are to Where You’re Meant to Be and #AuntAlma",real,real,real,0,ddg_deberta,refuted,DDG evidence evaluated with DeBERTa NLI,no Google fact-check match,,fake
34,"What Trump Will Never Understand About Immigrants. The teacher thought Feliz Diaz, like those other immigrants from the wrong side of the tracks, was weak and afraid. Someone learned a lesson that day. Felix Diaz grew up on the wrong side of the Union Pacific railroad tracks in the town of Victorvil",real,real,fake,0,none,insufficient,DDG evidence evaluated with DeBERTa NLI,no Google fact-check match,,real
35,Insurance Prices for Many Obamacare Customers Will Rise By Double Digits in 2017. Insurance Prices for Many Obamacare Customers Will Rise By Double Digits in 2017 The cost of private health insurance arranged under President Obama’s health care law will rise by double-digit percentages and many Amer,fake,fake,real,0,ddg_deberta,supported,DDG evidence evaluated with DeBERTa NLI,no Google fact-check match,,real
36,"Donald Trump, president of the Confederacy: The Southern strategy created the GOP civil war. Of course, Republicans and conservatives find these twin facts offensive and unbelievable. They hold onto their founding myth of Lincoln and “Great Emancipator” while simultaneously being dependent on voters",real,real,fake,0,ddg_deberta,refuted,DDG evidence evaluated with DeBERTa NLI,no Google fact-check match,,fake
37,OnPolitics | 's politics blog. Who has Trump picked for his Cabinet so far? Donald Trump is filling put his White House team with Cabinet picks and other top aides,real,real,real,0,ddg_deberta,supported,DDG evidence evaluated with DeBERTa NLI,no Google fact-check match,,real
38,"Welcome to Trump County, U.S.A.. It is a little after midnight on a Friday in late January. I am in a strip club in Morgantown, West Virginia, drinking shit American beer that tastes like ice and newspaper. A man is passing me a semi-automatic handgun and telling me to pull the trigger. The man is J",real,real,fake,0,none,insufficient,DDG evidence evaluated with DeBERTa NLI,no Google fact-check match,,real
