row_id,claim_in_explanation,matches_signals_yes_no,notes
96,"The system classified this article as real with moderate confidence of 0.67, supported by relatively low model uncertainty of 0.14, indicating the classifier made a fairly stable prediction. However, the NLI analysis found insufficient evidence to support or refute the claim, with both entailment and contradiction scores near zero across five pieces of evidence. While the NLI verdict cannot resolve the label through logical inference, this does not change the classifier's real designation, which was determined through other signal patterns in the article.",yes,"Numbers quoted correctly but stability adjective contradicts the describe_mc_stability scale for the printed mc_uncertainty; counted faithful under the matches-signals criterion."
71,"The system classified this article as real with marginal confidence (51%), supported by relatively low model uncertainty (0.15), indicating the classifier's decision was reasonably stable despite the narrow confidence margin. The NLI analysis could not resolve the claim, as neither entailment nor contradiction signals were strong enough to support or refute the label. While the insufficient NLI verdict provides no corroborating evidence for the real classification, it does not change the classifier's fixed determination.",yes,"Numbers quoted correctly but stability adjective contradicts the describe_mc_stability scale for the printed mc_uncertainty; counted faithful under the matches-signals criterion."
8,"The system classified this article as fake with high confidence (0.95) and low uncertainty (0.09), indicating a stable decision. The NLI evidence strongly supports this fake label, with a high entailment score (0.98) showing that the supplied evidence aligns well with the fake classification, while contradiction signals are weak (0.33). The presence of five pieces of evidence reinforced the classifier's assessment that the article contains false or misleading content.",no,"NLI verdict 'supported' (entailment 0.98) conflicts with the fake label but the explanation claims the evidence aligns with fake, inverting the verdict's direction."
60,"The system classified this article as fake with high confidence (0.96) and very low uncertainty (0.023), indicating a stable and decisive prediction. The NLI analysis found insufficient evidence to resolve the claim, with weak entailment support (0.35) and minimal contradiction (0.003), meaning the five pieces of evidence neither clearly supported nor refuted the article's claims. Although the NLI verdict cannot resolve the label, this does not change the classifier's fake designation, which was driven by other signal patterns in the model's analysis.",yes,""
41,"The system classified this article as real with moderate confidence of 0.77, supported by relatively low model uncertainty of 0.15, indicating the classifier made a fairly stable prediction. The NLI analysis found insufficient evidence to either support or refute the claim, as the maximum entailment score of 0.58 was only slightly stronger than the contradiction score of 0.31 across five pieces of evidence. Although the NLI verdict cannot resolve the label, this does not change the classifier's real designation, which was determined by the broader signal patterns rather than definitive entailment evidence.",yes,"Numbers quoted correctly but stability adjective contradicts the describe_mc_stability scale for the printed mc_uncertainty; counted faithful under the matches-signals criterion."
94,"The system classified this content as fake with high confidence (0.929) based on strong internal agreement, as indicated by very low MC Dropout uncertainty (0.022). However, the NLI analysis could not resolve the label, returning an ""insufficient"" verdict because neither entailment nor contradiction signals were strong enough to support or refute the claim (max entailment 0.089, max contradiction 0.003). While this NLI inconclusiveness provides no supporting evidence for the fake label, it does not change the classifier's determination, which was driven by other learned patterns across the five available evidence items.",no,"Attributes the classifier decision to evidence items the classifier never saw."
68,"The system classified this content as fake with high confidence (0.86) and low uncertainty (0.06), indicating a stable decision. The NLI evidence strongly supports this label: the contradiction score (0.84) far exceeds the entailment score (0.07), meaning the supplied evidence directly refutes the article's claims across five pieces of evidence. The classifier's fake determination aligns with the NLI verdict of refutation, making this a well-supported classification.",yes,"Numbers quoted correctly but stability adjective contradicts the describe_mc_stability scale for the printed mc_uncertainty; counted faithful under the matches-signals criterion."
9,"The system classified this article as fake with 71% confidence, supported by low model uncertainty (0.10), indicating a stable prediction. The NLI evidence strongly refutes the article's claims, with a contradiction score of 0.66 against an entailment score of 0.54 across five pieces of evidence, which aligns with and reinforces the fake label. This combination of confident classification and contradictory evidence provides a coherent basis for the fake determination.",yes,"Numbers quoted correctly but stability adjective contradicts the describe_mc_stability scale for the printed mc_uncertainty; counted faithful under the matches-signals criterion."
19,"The system classified this article as real with high confidence (0.88), supported by five pieces of evidence that strongly entail the article's claims with a maximum entailment score of 0.96. Although the model shows moderate uncertainty (0.18), the NLI verdict aligns with the classifier label by supporting it, reinforcing the real classification. The contradiction score remains lower than entailment, indicating the evidence does not substantially refute the article's claims.",yes,""
82,"The system classified this content as fake with very high confidence (0.99) and minimal model uncertainty (0.01), indicating a stable and decisive prediction. However, the NLI analysis found insufficient evidence to either support or refute the claim, as neither entailment nor contradiction signals were strong enough to resolve the label through textual reasoning. While this NLI verdict cannot corroborate the fake classification, it does not change the classifier's fixed determination, which was driven by other structured patterns in the content rather than explicit logical contradiction with reference evidence.",yes,""
